            age  workclass_cat    fnlwgt  education_cat  education_num  \
32550  0.323916       1.721073 -1.539900       1.214850      -0.031360   
32551 -0.482510      -0.085295 -1.475248      -2.660855      -1.586134   
32552  0.323916      -0.085295 -0.995901      -0.593812       0.357334   
32553 -0.482510      -0.085295 -0.697682       0.439709       1.523415   
32554  1.057031      -0.085295  1.251413       0.439709       1.523415   
32555 -1.215625      -0.085295  1.140442       1.214850      -0.031360   
32556 -0.849067      -0.085295  0.639731      -0.852192       0.746028   
32557  0.103982      -0.085295 -0.335428       0.181329      -0.420053   
32558  1.423588      -0.085295 -0.358772       0.181329      -0.420053   
32559 -1.215625      -0.085295  0.110958       0.181329      -0.420053   
32560  0.983719       0.817889  0.929878       0.181329      -0.420053   

       marital_cat  occupation_cat  relationship_cat  race_cat  sex_cat  \
0         0.921620       -1.545232         -0.277801       NaN      NaN   
1        -0.406206       -0.790080         -0.900167       NaN      NaN   
2        -1.734032       -0.286645         -0.277801       NaN      NaN   
3        -0.406206       -0.286645         -0.900167       NaN      NaN   
4        -0.406206        0.720225          2.211664       NaN      NaN   
5        -0.406206       -0.790080          2.211664       NaN      NaN   
6         0.257707        0.216790         -0.277801       NaN      NaN   
7        -0.406206       -0.790080         -0.900167       NaN      NaN   
8         0.921620        0.720225         -0.277801       NaN      NaN   
9        -0.406206       -0.790080         -0.900167       NaN      NaN   
10       -0.406206       -0.790080         -0.900167       NaN      NaN   
11       -0.406206        0.720225         -0.900167       NaN      NaN   
12        0.921620       -1.545232          0.966932       NaN      NaN   
13        0.921620        1.223660         -0.277801       NaN      NaN   
14       -0.406206       -1.041797         -0.900167       NaN      NaN   
15       -0.406206        1.727095         -0.900167       NaN      NaN   
16        0.921620       -0.538362          0.966932       NaN      NaN   
17        0.921620       -0.034927          1.589298       NaN      NaN   
18       -0.406206        1.223660         -0.900167       NaN      NaN   
19       -1.734032       -0.790080          1.589298       NaN      NaN   
20       -0.406206        0.720225         -0.900167       NaN      NaN   
21        1.585533        0.216790          1.589298       NaN      NaN   
22       -0.406206       -0.538362         -0.900167       NaN      NaN   
23       -0.406206        1.727095         -0.900167       NaN      NaN   
24       -1.734032        1.475378          1.589298       NaN      NaN   
25       -0.406206        1.475378         -0.900167       NaN      NaN   
26        0.921620       -1.041797          0.966932       NaN      NaN   
27       -0.406206        0.720225         -0.900167       NaN      NaN   
28       -1.734032       -0.790080         -0.277801       NaN      NaN   
29       -0.406206       -1.041797         -0.900167       NaN      NaN   
...            ...             ...               ...       ...      ...   
32531     0.921620        0.720225         -0.277801       NaN      NaN   
32532    -0.406206        0.720225         -0.900167       NaN      NaN   
32533    -0.406206       -0.790080         -0.900167       NaN      NaN   
32534    -1.734032       -1.545232          1.589298       NaN      NaN   
32535     0.921620        0.971943          0.966932       NaN      NaN   
32536     0.921620       -0.790080         -0.277801       NaN      NaN   
32537     0.921620       -1.041797         -0.277801       NaN      NaN   
32538    -1.734032        0.720225          1.589298       NaN      NaN   
32539    -0.406206        0.720225         -0.900167       NaN      NaN   
32540     1.585533       -1.545232          0.966932       NaN      NaN   
32541     1.585533        0.720225         -0.277801       NaN      NaN   
32542    -0.406206        0.720225         -0.900167       NaN      NaN   
32543    -1.734032        0.720225          1.589298       NaN      NaN   
32544    -1.734032        0.216790         -0.277801       NaN      NaN   
32545    -0.406206       -1.545232          2.211664       NaN      NaN   
32546    -1.734032        1.475378         -0.277801       NaN      NaN   
32547    -0.406206       -0.034927         -0.900167       NaN      NaN   
32548     0.921620        0.720225         -0.277801       NaN      NaN   
32549    -1.734032       -1.545232          0.344565       NaN      NaN   
32550    -0.406206       -1.041797         -0.900167       NaN      NaN   
32551    -0.406206       -0.286645         -0.900167       NaN      NaN   
32552    -0.406206        1.223660         -0.900167       NaN      NaN   
32553     0.921620        1.475378         -0.277801       NaN      NaN   
32554    -0.406206       -0.790080         -0.900167       NaN      NaN   
32555     0.921620        0.971943         -0.277801       NaN      NaN   
32556    -0.406206        1.475378          2.211664       NaN      NaN   
32557    -0.406206       -0.034927         -0.900167       NaN      NaN   
32558     2.249446       -1.545232          1.589298       NaN      NaN   
32559     0.921620       -1.545232          0.966932       NaN      NaN   
32560    -0.406206       -0.790080          2.211664       NaN      NaN   

       capital_gain  capital_loss  hours_per_week  native_country_cat income  
0          0.148451     -0.216656       -0.035429            0.261366  <=50K  
1         -0.145918     -0.216656       -2.222119            0.261366  <=50K  
2         -0.145918     -0.216656       -0.035429            0.261366  <=50K  
3         -0.145918     -0.216656       -0.035429            0.261366  <=50K  
4         -0.145918     -0.216656       -0.035429           -5.352858  <=50K  
5         -0.145918     -0.216656       -0.035429            0.261366  <=50K  
6         -0.145918     -0.216656       -1.979153           -2.380622  <=50K  
7         -0.145918     -0.216656        0.369514            0.261366   >50K  
8          1.761115     -0.216656        0.774456            0.261366   >50K  
9          0.555205     -0.216656       -0.035429            0.261366   >50K  
10        -0.145918     -0.216656        3.204112            0.261366   >50K  
11        -0.145918     -0.216656       -0.035429           -3.041119   >50K  
12        -0.145918     -0.216656       -0.845314            0.261366  <=50K  
13        -0.145918     -0.216656        0.774456            0.261366  <=50K  
14        -0.145918     -0.216656       -0.035429            0.261366   >50K  
15        -0.145918     -0.216656        0.369514           -1.885249  <=50K  
16        -0.145918     -0.216656       -0.440372            0.261366  <=50K  
17        -0.145918     -0.216656       -0.035429            0.261366  <=50K  
18        -0.145918     -0.216656        0.774456            0.261366  <=50K  
19        -0.145918     -0.216656        0.369514            0.261366   >50K  
20        -0.145918     -0.216656        1.584342            0.261366   >50K  
21        -0.145918     -0.216656       -1.655199            0.261366  <=50K  
22        -0.145918     -0.216656       -0.035429            0.261366  <=50K  
23        -0.145918      4.850842       -0.035429            0.261366  <=50K  
24        -0.145918     -0.216656       -0.035429            0.261366  <=50K  
25        -0.145918     -0.216656       -0.035429            0.261366   >50K  
26        -0.145918     -0.216656       -0.035429            0.261366  <=50K  
27        -0.145918     -0.216656        1.584342           -0.399131   >50K  
28        -0.145918     -0.216656        3.204112            0.261366  <=50K  
29        -0.145918     -0.216656       -0.035429            0.261366  <=50K  
...             ...           ...             ...                 ...    ...  
32531     -0.145918     -0.216656        4.742894            0.261366  <=50K  
32532     -0.145918     -0.216656        1.584342            0.261366   >50K  
32533     -0.145918     -0.216656        0.774456           -2.215497   >50K  
32534     -0.145918     -0.216656       -0.116417            0.261366  <=50K  
32535     -0.145918     -0.216656       -0.440372            0.261366  <=50K  
32536     -0.145918     -0.216656        1.179399            0.261366   >50K  
32537     -0.145918     -0.216656        0.450502            0.261366  <=50K  
32538      1.887854     -0.216656        0.369514            0.261366   >50K  
32539     -0.145918     -0.216656       -2.465085            0.261366   >50K  
32540     -0.145918     -0.216656       -0.035429            0.261366  <=50K  
32541     -0.145918     -0.216656       -0.683337            0.261366  <=50K  
32542     -0.145918     -0.216656       -1.250257            0.261366  <=50K  
32543     -0.145918     -0.216656        0.612479            0.261366  <=50K  
32544     -0.145918     -0.216656       -0.845314            0.261366  <=50K  
32545     -0.145918     -0.216656       -1.655199            0.261366   >50K  
32546     -0.145918     -0.216656       -0.035429            0.261366  <=50K  
32547     -0.145918     -0.216656       -0.035429           -1.885249  <=50K  
32548      0.001131     -0.216656        1.584342            0.261366  <=50K  
32549     -0.145918     -0.216656       -0.035429            0.261366  <=50K  
32550     -0.145918     -0.216656        0.774456            0.261366  <=50K  
32551     -0.145918     -0.216656       -0.035429            0.261366  <=50K  
32552     -0.145918     -0.216656        0.369514            0.261366  <=50K  
32553     -0.145918     -0.216656       -2.384096           -0.234007  <=50K  
32554     -0.145918     -0.216656       -0.035429            0.261366   >50K  
32555     -0.145918     -0.216656       -0.035429            0.261366  <=50K  
32556     -0.145918     -0.216656       -0.197406            0.261366  <=50K  
32557     -0.145918     -0.216656       -0.035429            0.261366   >50K  
32558     -0.145918     -0.216656       -0.035429            0.261366  <=50K  
32559     -0.145918     -0.216656       -1.655199            0.261366  <=50K  
32560      1.888395     -0.216656       -0.035429            0.261366   >50K  

[32561 rows x 15 columns]
